Sample,Condition,Batch,Batch2,AB,Bacs,file_ID,Replicate,Replicate_Number
G05271,GF,a,a,yes,no,G05271_salmon,GF.1,1
G05272,bA.A,a,e,yes,bac,G05272_salmon,bA.A.1,1
G05273,bJ.A,a,a,yes,bac,G05273_salmon,bJ.A.1,1
G05274,bA.A,a,b,yes,bac,G05274_salmon,bA.A.2,2
G05275,wt,a,b,no,bac,G05275_salmon,wt.1,1
G05276,GF,a,d,yes,no,G05276_salmon,GF.2,2
G05277,bA.A,a,c,yes,bac,G05277_salmon,bA.A.3,3
G05278,bJ.A,a,e,yes,bac,G05278_salmon,bJ.A.2,2
G05279,wt,a,c,no,bac,G05279_salmon,wt.2,2
G05280,bE.A,a,f,yes,bac,G05280_salmon,bE.A.1,1
G05281,wt,a,f,no,bac,G05281_salmon,wt.3,3
G05282,bA.A,a,a,yes,bac,G05282_salmon,bA.A.4,4
G05283,GF,b,f,yes,no,G05283_salmon,GF.3,3
G05284,bE.A,b,e,yes,bac,G05284_salmon,bE.A.2,2
G05285,bJ.A,b,c,yes,bac,G05285_salmon,bJ.A.3,3
G05286,bE.A,b,d,yes,bac,G05286_salmon,bE.A.3,3
G05287,GF,b,d,yes,no,G05287_salmon,GF.4,4
G05288,bJ.A,b,f,yes,bac,G05288_salmon,bJ.A.4,4
G05289,bA.A,b,d,yes,bac,G05289_salmon,bA.A.5,5
G05290,bE.A,b,b,yes,bac,G05290_salmon,bE.A.4,4
G05291,wt,b,e,no,bac,G05291_salmon,wt.4,4
G05292,bE.A,b,f,yes,bac,G05292_salmon,bE.A.5,5
G05293,wt,b,a,no,bac,G05293_salmon,wt.5,5
G05294,bJ.A,b,d,yes,bac,G05294_salmon,bJ.A.5,5
G05295,GF,b,e,yes,no,G05295_salmon,GF.5,5
